Class	Allen CCFv3 X mm	Allen CCFv3 Y mm	Allen CCFv3 Z mm	Esr1 (Opal 480): Num Spots	Prg (Opal 520): Num Spots	Prlr (Opal 570): Num Spots	Oxt (Opal 620): Num Spots
Positive	7.5697	4.8321	7.2202	0	3	0	0
Positive	7.6353	0.9728	3.7843	0	10	0	0
Positive	7.5588	5.1478	8.1911	9	19	2	7
Positive	7.5952	1.5612	8.1119	2	9	0	0
Positive	7.6062	5.4913	1.7729	1	7	0	2
Negative	7.5323	6.1002	10.3408	0	0	0	0
Positive	7.6182	2.8111	3.6322	2	5	0	4
Positive	7.5706	2.3367	10.2475	1	14	0	0
Positive	7.5405	5.6697	9.8535	3	4	0	6
Positive	7.607	4.6499	2.7342	0	13	2	1
Positive	7.6371	1.6739	2.674	4	8	0	1
Positive	7.6272	2.897	2.3879	3	10	4	0
Positive	7.6353	0.4473	4.4453	3	17	0	0
Positive	7.558	6.0829	7.1193	6	13	21	0
Positive	7.5881	5.7891	3.6846	0	8	0	5
Positive	7.6272	3.6876	1.3879	22	3	0	0
Positive	7.6127	1.2344	6.3183	4	19	0	0
Positive	7.6024	2.8369	5.6003	1	0	0	0
Positive	7.5981	5.2953	3.0466	4	13	0	9
Positive	7.6231	4.5924	0.7789	15	6	0	3
Positive	7.5809	5.0157	5.565	8	18	13	0
Positive	7.6377	2.4682	1.6056	5	2	0	0
Positive	7.5594	2.9463	10.883	1	16	0	0
Positive	7.5846	6.8249	2.819	3	5	0	0
Positive	7.6449	1.1669	2.3346	18	18	0	14
Positive	7.5349	6.4387	9.5807	3	2	0	11
Positive	7.6122	5.2253	1.3469	7	10	0	1
Positive	7.5918	1.2629	8.9176	2	23	0	0
Positive	7.6065	4.0062	3.6051	2	3	0	0
Positive	7.5855	4.1275	6.1024	2	5	5	7
Positive	7.5333	6.6886	9.4796	23	8	0	1
Positive	7.5988	6.4208	1.5374	2	6	0	6
Positive	7.6323	3.4045	1.1099	3	31	0	4
Positive	7.5963	1.057	8.6118	2	14	0	0
Positive	7.594	2.0065	7.7082	0	0	0	0
Positive	7.6099	4.4667	2.6033	9	24	12	17
Positive	7.5909	5.6462	3.5128	3	10	1	1
Positive	7.6068	4.779	2.5972	15	12	4	9
Positive	7.59	4.1516	5.5051	1	7	6	3
Positive	7.5559	4.4652	9.4164	3	3	1	2
Positive	7.5283	6.7977	9.967	2	14	0	2
Positive	7.5568	6.6831	6.5122	0	1	1	0
